domain,id,description,phone_corp,region,discovered_at,relevance_score,category,name,url,email_corp,address,source_url,last_updated,is_active
temukit.cl,1,Descubre las increíbles casas prefabricadas en Temuco y haz realidad tu sueño de tener un hogar propio. Nuestras casas destacan por su calidad y rapida entrega,+56 41789790,,2026-03-23 13:30:01.539217,0.2,prefabricada,Temukit,https://temukit.cl/,contacto@temukit.cl,,https://temukit.cl/,2026-03-23 13:30:01.539222,True
casasvespucio.cl,2,"Casas Prefabricadas mediterraneas y americanas en metalcon , experiencia en modelos de viviendas prefabricadas.",+56 73723093,,2026-03-23 13:30:02.639780,0.6,modular,Casas Prefabricadas Vespucio,https://casasvespucio.cl/,,,https://casasvespucio.cl/,2026-03-23 13:30:02.639785,True
tecnopanel.cl,3,"Viviendas industrializadas con paneles SIP: rapidez en construcción, sustentabilidad y calidad en cada proyecto de Tecno Panel.",+56 2745 5940,,2026-03-23 13:30:05.681180,1.0,SIP,"Paneles SIP, OSB.Paneles Casas Prefabricadas ,Sandwich.TECNO PANEL • TECNOPANEL.CL: Paneles SIP Aislantes y Paneles OSB.Paneles SIP Aislantes Termicos y Paneles OSB Sandwich de poliestireno,para Casas Prefabricadas de madera.",https://tecnopanel.cl/viviendas-industrializadas/,contacto@iterrasur.cl,,https://tecnopanel.cl/viviendas-industrializadas/,2026-03-23 13:30:05.681185,True
tecnofasthome.cl,4,Diseña tu hogar soñado con nuestras casas modulares. Descubre la calidad y versatilidad de las casas modulares Chile de TecnoFast Home. Construye a tu medida,,,2026-03-23 13:30:10.421934,0.2,modular,Tecno Fast Home,https://tecnofasthome.cl/casas-modulares/,,,https://tecnofasthome.cl/casas-modulares/,2026-03-23 13:30:10.421938,True
ruralhouse.cl,5,"Casas prefabricadas rurales en Chile, tenemos casas de máxima calidad, al menor precio y con tiempos récord de instalación. ¡Conoce más aquí!",+56 4456 2666,,2026-03-23 13:30:16.362392,0.2,modular,Ruralhouse.cl,https://www.ruralhouse.cl/,contactoruralhouse@gmail.com,,https://www.ruralhouse.cl/,2026-03-23 13:30:16.362396,True
boxpanelchile.cl,6,"Diseñamos y construimos casas prefabricadas PREMIUM con paneles SIP, una solución sostenible que combina eficiencia energética, rapidez y durabilidad.",+56 9328 9173,,2026-03-23 13:30:20.971469,0.4,SIP,Box Panel Chile,https://boxpanelchile.cl/,ventas@boxpanelchile.cl,,https://boxpanelchile.cl/,2026-03-23 13:30:20.971474,True
casasprefabricadas.cl,7,En casasprefabricadas.cl buscamos tener los mejores modeles de casas prefabricadas de Chile para que puedas encontrar tu casa con nosotros.,,,2026-03-23 13:30:22.308383,0.6,modular,Casas Prefabricadas,https://casasprefabricadas.cl/nosotros/,info@casasprefabricadas.cl,,https://casasprefabricadas.cl/nosotros/,2026-03-23 13:30:22.308387,True
casasanalberto.com,8,"Encuentra tu casa prefabricada ideal en Paine o Temuco. Calidad, rapidez y precios accesibles en todo Chile. ¡Cotiza 100% online y sin compromiso!",+56 44081159,,2026-03-23 13:30:25.617067,0.6,prefabricada,Casas Prefabricadas - SAN ALBERTO,https://casasanalberto.com/?srsltid=AfmBOopX-uFGs2mDj8BPu2s1Ly972j-y4P1fKFA0muXfxqRwuPkEsoct,contacto@casasanalberto.com,,https://casasanalberto.com/?srsltid=AfmBOopX-uFGs2mDj8BPu2s1Ly972j-y4P1fKFA0muXfxqRwuPkEsoct,2026-03-23 13:30:25.617072,True
casasresort.cl,9,"Casas prefabricadas resort, se compromete a cumplir con todo lo ofrecido y construir casas prefabricadas garantizadas, con buen servicio de post venta, por lo mismo damos confianza y podemos decir que casasresort cuenta con un servicio de Las mejo...",+56 6630 2290,,2026-03-23 13:30:27.635519,0.2,prefabricada,Casas Resort,https://casasresort.cl/las-mejores-casas-prefabricadas-de-chile/,,,https://casasresort.cl/las-mejores-casas-prefabricadas-de-chile/,2026-03-23 13:30:27.635523,True
globalsip.cl,10,Para sus proyectos de paneles o proyecto total. Bajos índices de emisiones desde la fabricación de la placa y panel hasta la ejecución final de la obra.Resistencia a la compresión igual a la del concreto simple. Resistencia a la tracción y flexión...,+56 6334 3544,,2026-03-23 13:30:36.083607,0.6,SIP,GLOBALSIP – Construcción y venta de Paneles SIP,https://globalsip.cl/,contacto@globalsip.cl,,https://globalsip.cl/,2026-03-23 13:30:36.083618,True
casasarbolito.cl,11,"Construcción de casas prefabricadas Llave en mano: clásicas, mediterráneas, loft , a medida. Casas modulares, casas de madera, ecológicas y rápida entrega.",+56 5188 8397,,2026-03-23 13:30:37.220180,0.4,prefabricada,Casas Arbolito,https://www.casasarbolito.cl/,,,https://www.casasarbolito.cl/,2026-03-23 13:30:37.220184,True
constructainers.cl,12,"Constructainers 2024, todos los derechos reservados.",+56 66023323,,2026-03-23 13:30:43.166040,0.6,modular,casascontainers – Casas Containers,https://constructainers.cl/,Chilecontacto@constructainers.cl,,https://constructainers.cl/,2026-03-23 13:30:43.166044,True
